MMTC Name,Dispensing Locations,Medical Marijuana (mgs THC),Low-THC Cannabis (mgs CBD),Marijuana in a Form for Smoking (oz),Report Date
Green Sentry Holdings,7,601885,10425,311.461,2022-09-02
HT Medical Cannabis,3,614303,0,343.644,2022-09-02
Jungle Boys,2,747852,0,612.628,2022-09-02
Insa – Cannabis for Real Life,1,88227,0,40.414,2022-09-02
The Flowery,1,1195273,0,438.386,2022-09-02
"Cookies Florida, Inc.",1,121054,0,310.266,2022-09-02
"Planet 13 Florida, Inc.",0,0,0,0.0,2022-09-02
Revolution Florida,0,0,0,0.0,2022-09-02
Gold Leaf,0,0,0,0.0,2022-09-02
Trulieve,120,111397535,1566815,41851.119,2022-08-26
MüV,56,30112090,156292,7025.036,2022-08-26
Curaleaf,51,42969343,254520,11789.248,2022-08-26
Liberty Health Sciences,49,30126532,0,4278.635,2022-08-26
Surterra Welln ess,45,22639792,1108129,4947.828,2022-08-26
Fluent,27,13713908,14200,1948.709,2022-08-26
VidaCann,25,3880476,81236,1267.199,2022-08-26
GrowHealthy,18,6122170,40902,6008.441,2022-08-26
Sunnyside*,18,2841386,15533,1693.333,2022-08-26
Cannabist,14,4121925,10800,1596.15,2022-08-26
Sanctuary Cannabis,11,968556,22534,957.862,2022-08-26
Green Dragon,10,456621,1283,221.059,2022-08-26
GTI (Rise Dispensaries),7,1261768,8592,1649.543,2022-08-26
Green Sentry Holdings,7,350166,8100,150.469,2022-08-26
HT Medical Cannabis,3,526178,2762,416.634,2022-08-26
Jungle Boys,2,173796,0,167.32,2022-08-26
Insa – Cannabis for Real Life,1,90642,0,30.789,2022-08-26
The Flowery,1,3923329,17330,485.063,2022-08-26
"Cookies Florida, Inc.",1,127226,0,247.2,2022-08-26
"Planet 13 Florida, Inc.",0,0,0,0.0,2022-08-26
Revolution Florida,0,0,0,0.0,2022-08-26
Gold Leaf,0,0,0,0.0,2022-08-26
Trulieve,120,91051397,1061053,38066.575,2022-08-19
MüV,56,27253778,126173,6805.306,2022-08-19
Curaleaf,51,42390875,307475,12684.337,2022-08-19
Liberty Health Sciences,49,30452368,0,4567.34,2022-08-19
Surterra Welln ess,45,21078217,1051730,4317.279,2022-08-19
Fluent,27,13575598,16300,2211.511,2022-08-19
VidaCann,25,5232733,107274,1341.547,2022-08-19
GrowHealthy,18,6373723,10423,2618.757,2022-08-19
Sunnyside*,17,3102103,31860,1802.675,2022-08-19
Cannabist,14,3177984,4800,1373.562,2022-08-19
Sanctuary Cannabis,11,722045,24054,869.688,2022-08-19
Green Dragon,9,336201,0,206.243,2022-08-19
GTI (Rise Dispensaries),7,1475755,11330,2300.719,2022-08-19
Green Sentry Holdings,7,688131,7210,342.059,2022-08-19
HT Medical Cannabis,3,1004805,2387,314.671,2022-08-19
Jungle Boys,1,298464,0,261.389,2022-08-19
Insa – Cannabis for Real Life,1,72547,1202,26.381,2022-08-19
The Flowery,1,1171619,17740,370.196,2022-08-19
"Cookies Florida, Inc.",1,441627,0,580.189,2022-08-19
"Planet 13 Florida, Inc.",0,0,0,0.0,2022-08-19
Revolution Florida,0,0,0,0.0,2022-08-19
Gold Leaf,0,0,0,0.0,2022-08-19
Trulieve,119,86564451,895240,37589.374,2022-08-12
MüV,55,26013900,116633,6611.363,2022-08-12
Curaleaf,51,37263338,230915,11307.133,2022-08-12
Liberty Health Sciences,49,30262410,0,5323.533,2022-08-12
Surterra Welln ess,45,27871156,1618788,5225.986,2022-08-12
Fluent,27,11041830,14700,2687.319,2022-08-12
VidaCann,25,4654439,109113,1484.351,2022-08-12
GrowHealthy,18,8043863,23147,3969.872,2022-08-12
Sunnyside*,17,3413720,52936,1771.27,2022-08-12
Cannabist,14,3262222,16618,1198.503,2022-08-12
Sanctuary Cannabis,11,693826,25277,664.823,2022-08-12
Green Dragon,9,0,0,163.795,2022-08-12
GTI (Rise Dispensaries),7,1548879,10300,1224.565,2022-08-12
Green Sentry Holdings,7,701180,5500,373.546,2022-08-12
HT Medical Cannabis,3,497419,0,436.674,2022-08-12
Jungle Boys,1,522657,0,784.589,2022-08-12
Insa – Cannabis for Real Life,1,0,0,0.0,2022-08-12
The Flowery,1,3754548,7510,542.32,2022-08-12
"Cookies Florida, Inc.",1,0,0,0.124,2022-08-12
Revolution Florida,0,0,0,0.0,2022-08-12
Gold Leaf,0,0,0,0.0,2022-08-12
Trulieve,119,85155903,994515,36219.693,2022-08-05
MüV,55,29601812,172833,7875.825,2022-08-05
Curaleaf,51,42273151,321766,12254.157,2022-08-05
Liberty Health Sciences,49,27139132,5299,4877.457,2022-08-05
Surterra Welln ess,45,20514353,1030858,5569.271,2022-08-05
Fluent,27,13860085,11860,2889.377,2022-08-05
VidaCann,25,5181011,84616,1300.166,2022-08-05
GrowHealthy,18,8075674,21756,3487.434,2022-08-05
Sunnyside*,17,3229687,54434,1804.111,2022-08-05
Cannabist,14,3712314,5910,1546.667,2022-08-05
Sanctuary Cannabis,11,551128,22201,643.94,2022-08-05
Green Dragon,9,0,0,157.377,2022-08-05
GTI (Rise Dispensaries),7,1240072,6566,1043.303,2022-08-05
Green Sentry Holdings,7,674023,6400,333.256,2022-08-05
HT Medical Cannabis,3,836626,0,348.132,2022-08-05
Jungle Boys,1,155044,0,24.868,2022-08-05
Insa – Cannabis for Real Life,1,0,0,0.0,2022-08-05
The Flowery,1,1158807,17790,232.973,2022-08-05
Revolution Florida,0,0,0,0.0,2022-08-05
Gold Leaf,0,0,0,0.0,2022-08-05
"Cookies Florida, Inc.",0,0,0,0.0,2022-08-05
Trulieve,118,96204946,1142031,36040.719,2022-07-29
MüV,53,24289672,131584,6172.157,2022-07-29
Curaleaf,51,40531054,352073,11547.767,2022-07-29
Liberty Health Sciences,48,33064523,3836,5286.526,2022-07-29
Surterra Welln ess,45,23422660,1402527,6397.782,2022-07-29
Fluent,27,15849222,8750,2747.144,2022-07-29
VidaCann,25,4841207,91202,1432.733,2022-07-29
GrowHealthy,18,7764118,29156,3083.54,2022-07-29
Sunnyside*,16,3033422,61425,2129.865,2022-07-29
Cannabist,14,3358879,11703,1185.472,2022-07-29
Sanctuary Cannabis,10,550129,16925,572.368,2022-07-29
Green Dragon,9,0,0,161.096,2022-07-29
GTI (Rise Dispensaries),7,1060628,4300,1028.805,2022-07-29
MedMen,7,739730,11410,367.203,2022-07-29
HT Medical Cannabis,3,877105,0,323.533,2022-07-29
Jungle Boys,1,227604,0,87.998,2022-07-29
Insa – Cannabis for Real Life,1,0,0,0.0,2022-07-29
The Flowery,1,529501,3370,255.238,2022-07-29
Revolution Florida,0,0,0,0.0,2022-07-29
Gold Leaf,0,0,0,0.0,2022-07-29
"Cookies Florida, Inc.",0,0,0,0.0,2022-07-29
Trulieve,118,88663087,1015112,36333.6,2022-07-22
MüV,52,23297948,118167,5434.248,2022-07-22
Curaleaf,50,36147151,339623,11537.791,2022-07-22
Liberty Health Sciences,47,29060377,5795,5251.118,2022-07-22
Surterra Welln ess,45,22032758,1071047,5108.464,2022-07-22
Fluent,27,10711203,8813,3116.12,2022-07-22
VidaCann,25,4561087,107224,1302.074,2022-07-22
GrowHealthy,18,7140956,42836,4015.09,2022-07-22
Sunnyside*,16,2937069,25034,2312.604,2022-07-22
Cannabist,14,4479144,16023,1570.237,2022-07-22
Sanctuary Cannabis,10,467404,10049,557.34,2022-07-22
Green Dragon,9,0,0,156.472,2022-07-22
GTI (Rise Dispensaries),7,1219366,11084,1193.031,2022-07-22
MedMen,7,733129,5450,377.032,2022-07-22
HT Medical Cannabis,3,911242,1452,271.745,2022-07-22
Jungle Boys,1,223854,0,138.042,2022-07-22
Insa – Cannabis for Real Life,0,0,0,0.0,2022-07-22
Revolution Florida,0,0,0,0.0,2022-07-22
The Flowery,0,575122,0,73.006,2022-07-22
Gold Leaf,0,0,0,0.0,2022-07-22
"Cookies Florida, Inc.",0,0,0,0.0,2022-07-22
Trulieve,118,89981989,1165575,35070.025,2022-07-15
MüV,52,26445695,134950,5527.276,2022-07-15
Curaleaf,50,37082176,260052,12408.892,2022-07-15
Liberty Health Sciences,47,34748695,20131,4848.77,2022-07-15
Surterra Welln ess,45,19645821,773691,5338.754,2022-07-15
Fluent,27,11030873,16580,2814.285,2022-07-15
VidaCann,25,4714273,76060,1309.232,2022-07-15
GrowHealthy,18,7690322,22899,3159.207,2022-07-15
Sunnyside*,16,3905973,1362,2270.12,2022-07-15
Cannabist,14,3827672,17672,1411.419,2022-07-15
Sanctuary Cannabis,10,600106,7806,564.249,2022-07-15
Green Dragon,9,0,0,171.939,2022-07-15
GTI (Rise Dispensaries),7,1791134,9343,1096.446,2022-07-15
MedMen,7,789334,16400,400.926,2022-07-15
HT Medical Cannabis,3,1617259,61,285.663,2022-07-15
Jungle Boys,1,302185,0,199.296,2022-07-15
Insa – Cannabis for Real Life,0,0,0,0.0,2022-07-15
Revolution Florida,0,0,0,0.0,2022-07-15
The Flowery,0,2877693,0,82.428,2022-07-15
Gold Leaf,0,0,0,0.0,2022-07-15
"Cookies Florida, Inc.",0,0,0,0.0,2022-07-15
Trulieve,116,103252103,1235587,34856.787,2022-07-08
Curaleaf,50,36475465,268800,11756.174,2022-07-08
MüV,49,23058388,112993,5941.914,2022-07-08
Liberty Health Sciences,47,29850389,2984,3941.255,2022-07-08
Surterra Welln ess,45,18701331,979312,4534.166,2022-07-08
Fluent,27,11014784,15350,2807.339,2022-07-08
VidaCann,25,4098756,55969,955.61,2022-07-08
GrowHealthy,18,6951337,15756,3808.725,2022-07-08
Sunnyside*,16,2800846,444,2068.825,2022-07-08
Cannabist,14,3164808,8816,1483.574,2022-07-08
Sanctuary Cannabis,9,623373,20151,617.564,2022-07-08
Green Dragon,9,0,0,154.43,2022-07-08
GTI (Rise Dispensaries),7,1401479,4407,1439.669,2022-07-08
MedMen,7,834547,9150,401.759,2022-07-08
HT Medical Cannabis,3,203469,0,222.809,2022-07-08
Jungle Boys,1,454684,0,365.474,2022-07-08
Insa – Cannabis for Real Life,0,0,0,0.0,2022-07-08
Revolution Florida,0,0,0,0.0,2022-07-08
The Flowery,0,1020032,0,46.507,2022-07-08
Gold Leaf,0,0,0,0.0,2022-07-08
"Cookies Florida, Inc.",0,0,0,0.0,2022-07-08
Trulieve,116,106365084,1501941,40676.891,2022-07-01
Curaleaf,50,41807498,296033,12619.421,2022-07-01
MüV,49,27496811,171246,6588.013,2022-07-01
Liberty Health Sciences,47,39122630,18368,6035.824,2022-07-01
Surterra Welln ess,45,23508157,1306852,5137.44,2022-07-01
Fluent,27,10891530,15850,2652.496,2022-07-01
VidaCann,25,4285855,59407,990.319,2022-07-01
GrowHealthy,18,7993039,31198,5236.114,2022-07-01
Sunnyside*,16,2557618,3806,1957.975,2022-07-01
Cannabist,14,3408940,19771,1855.372,2022-07-01
Sanctuary Cannabis,9,451880,16797,574.907,2022-07-01
Green Dragon,9,0,0,141.143,2022-07-01
GTI (Rise Dispensaries),7,1198176,3527,1332.288,2022-07-01
MedMen,7,1163939,13270,609.298,2022-07-01
HT Medical Cannabis,2,379887,0,175.04,2022-07-01
Jungle Boys,1,763036,0,504.264,2022-07-01
Insa – Cannabis for Real Life,0,0,0,0.0,2022-07-01
Revolution Florida,0,0,0,0.0,2022-07-01
The Flowery,0,2834654,0,61.665,2022-07-01
Gold Leaf,0,0,0,0.0,2022-07-01
"Cookies Florida, Inc.",0,0,0,0.0,2022-07-01
Trulieve,115,96468497,1088016,37912.197,2022-06-24
Curaleaf,50,39034794,322639,12752.858,2022-06-24
MüV,47,22028751,118520,4975.324,2022-06-24
Liberty Health Sciences,46,28547158,20822,3597.626,2022-06-24
Surterra Welln ess,45,18280309,832031,3495.238,2022-06-24
Fluent,27,9176277,31900,2790.509,2022-06-24
VidaCann,25,4600473,54880,1164.883,2022-06-24
GrowHealthy,18,7367584,34486,4042.392,2022-06-24
Sunnyside*,16,3210032,3455,1983.015,2022-06-24
Cannabist,14,3868623,18000,1685.21,2022-06-24
Sanctuary Cannabis,9,552352,9993,614.223,2022-06-24
Green Dragon,9,0,0,139.884,2022-06-24
GTI (Rise Dispensaries),7,1087844,3119,1301.788,2022-06-24
MedMen,7,764959,4460,428.916,2022-06-24
HT Medical Cannabis,2,562758,352,175.083,2022-06-24
Jungle Boys,1,0,0,1025.266,2022-06-24
Insa – Cannabis for Real Life,0,0,0,0.0,2022-06-24
Revolution Florida,0,0,0,0.0,2022-06-24
The Flowery,0,65183,0,94.596,2022-06-24
Gold Leaf,0,0,0,0.0,2022-06-24
"Cookies Florida, Inc.",0,0,0,0.0,2022-06-24
Trulieve,116,95984963,1257855,39642.84,2022-06-17
Curaleaf,50,35762975,222740,12919.826,2022-06-17
MüV,47,25641379,187153,5672.544,2022-06-17
Liberty Health Sciences,46,25405413,6448,3761.098,2022-06-17
Surterra Welln ess,45,22376629,1019460,3948.673,2022-06-17
Fluent,27,9713739,41600,2671.888,2022-06-17
VidaCann,25,4547318,113103,1436.799,2022-06-17
GrowHealthy,18,6453383,39937,3518.208,2022-06-17
Sunnyside*,16,3116527,1135,1980.325,2022-06-17
Cannabist,14,3839671,21822,1545.986,2022-06-17
Sanctuary Cannabis,9,588167,10594,552.857,2022-06-17
GTI (Rise Dispensaries),7,1392169,2516,1041.466,2022-06-17
MedMen,7,1398527,14110,441.625,2022-06-17
Green Dragon,7,0,0,143.045,2022-06-17
HT Medical Cannabis,2,191374,0,136.221,2022-06-17
Insa – Cannabis for Real Life,0,0,0,0.0,2022-06-17
Revolution Florida,0,0,0,0.0,2022-06-17
Jungle Boys,1,0,0,16.501,2022-06-17
The Flowery,0,2562165,0,49.48,2022-06-17
Gold Leaf,0,0,0,0.0,2022-06-17
"Cookies Florida, Inc.",0,0,0,0.0,2022-06-17
Trulieve,116,96212953,1385104,36769.552,2022-06-10
Curaleaf,50,34158119,184699,13048.855,2022-06-10
MüV,47,23877017,191892,6282.927,2022-06-10
Liberty Health Sciences,46,26806399,19505,3870.743,2022-06-10
Surterra Welln ess,45,15514574,936561,4039.55,2022-06-10
Fluent,27,9635680,49594,2736.86,2022-06-10
VidaCann,25,3670193,73310,988.443,2022-06-10
GrowHealthy,18,8100393,4827,3153.569,2022-06-10
Sunnyside*,16,3265616,2181,2026.199,2022-06-10
Cannabist,14,3230028,17582,1570.365,2022-06-10
Sanctuary Cannabis,9,620142,7474,553.678,2022-06-10
GTI (Rise Dispensaries),7,1062355,7654,1249.284,2022-06-10
MedMen,7,2118411,6670,413.656,2022-06-10
Green Dragon,7,0,0,133.675,2022-06-10
HT Medical Cannabis,2,283415,0,158.328,2022-06-10
Insa – Cannabis for Real Life,0,0,0,0.0,2022-06-10
Revolution Florida,0,0,0,0.0,2022-06-10
Jungl e Boys,1,0,0,133.675,2022-06-10
The Flowery,0,8994,0,95.393,2022-06-10
Gold Leaf,0,0,0,0.0,2022-06-10
"Cookies Florida, Inc.",0,0,0,0.0,2022-06-10
Trulieve,115,109206476,1637681,37466.629,2022-06-03
Curaleaf,50,35150388,224736,12315.568,2022-06-03
Liberty Health Sciences,47,27152101,12934,4467.681,2022-06-03
MüV,47,24737843,184209,6981.596,2022-06-03
Surterra Welln ess,44,25800540,1578505,4333.16,2022-06-03
Fluent,27,10234714,50900,2982.639,2022-06-03
VidaCann,25,3908019,84254,912.809,2022-06-03
GrowHealthy,18,7575360,8845,3657.321,2022-06-03
Sunnyside*,16,3225117,584,1972.045,2022-06-03
Cannabist,14,4660190,24126,1874.247,2022-06-03
Sanctuary Cannabis,9,656423,6845,614.669,2022-06-03
GTI (Rise Dispensaries),7,1490174,7838,1388.332,2022-06-03
MedMen,7,1365144,10440,680.165,2022-06-03
Green Dragon,7,0,0,110.792,2022-06-03
HT Medical Cannabis,2,191649,0,109.688,2022-06-03
Insa – Cannabis for Real Life,0,0,0,0.0,2022-06-03
Revolution Florida,0,0,0,0.0,2022-06-03
Jungle Boys,1,0,0,382.628,2022-06-03
The Flowery,0,1024101,0,48.649,2022-06-03
Gold Leaf,0,0,0,0.0,2022-06-03
"Cookies Florida, Inc.",0,0,0,0.0,2022-06-03
Trulieve,115,100810107,1443437,37048.155,2022-05-27
Curaleaf,50,36145055,259798,12696.857,2022-05-27
Liberty Health Sciences,47,31351390,27773,3418.004,2022-05-27
MüV,47,28077869,210618,5392.41,2022-05-27
Surterra Welln ess,44,26911902,1429593,4792.986,2022-05-27
Fluent,27,9814931,106850,2689.162,2022-05-27
VidaCann,25,5282555,84937,925.214,2022-05-27
GrowHealthy,18,8660970,16713,3513.686,2022-05-27
Sunnyside*,16,3122632,2644,2284.589,2022-05-27
Cannabist,14,3250229,15547,1530.537,2022-05-27
Sanctuary Cannabis,9,689111,9879,556.469,2022-05-27
GTI (Rise Dispensaries),7,1075376,2489,1220.341,2022-05-27
MedMen,7,1182660,9571,532.897,2022-05-27
Green Dragon,7,0,0,93.227,2022-05-27
HT Medical Cannabis,2,198947,0,108.257,2022-05-27
Insa – Cannabis for Real Life,0,0,0,0.0,2022-05-27
Revolution Florida,0,0,0,0.0,2022-05-27
Jungle B oys,1,8040,0,575.572,2022-05-27
The Flowery,0,1153076,7774,81.439,2022-05-27
Gold Leaf,0,0,0,0.0,2022-05-27
"Cookies Florida, Inc.",0,0,0,0.0,2022-05-27
Trulieve,115,95956207,1405168,33539.262,2022-05-06
Curaleaf,48,38834540,288545,12970.536,2022-05-06
Liberty Health Sciences,46,23459190,50877,3411.37,2022-05-06
MüV,46,26209226,376414,7054.465,2022-05-06
Surterra Welln ess,44,23690995,877134,3309.442,2022-05-06
Fluent,27,10683883,18650,2717.238,2022-05-06
VidaCann,25,5426210,183681,869.222,2022-05-06
GrowHealthy,18,7155152,48368,4217.909,2022-05-06
Sunnyside*,16,3390695,1549,2071.155,2022-05-06
Cannabist,14,4917283,33232,1988.382,2022-05-06
Sanctuary Cannabis,8,604779,8089,589.051,2022-05-06
GTI (Rise Dispensaries),7,1217429,12449,1490.479,2022-05-06
MedMen,7,1984299,13659,554.304,2022-05-06
Green Dragon,5,0,0,81.082,2022-05-06
HT Medical Cannabis,2,134965,65,108.9,2022-05-06
Insa – Cannabis for Real Life,0,0,0,0.0,2022-05-06
Revolution Florida,0,0,0,0.0,2022-05-06
Jungle Boys,0,0,0,0.0,2022-05-06
The Flowery,0,14500,0,67.451,2022-05-06
Gold Leaf Florida,0,0,0,0.0,2022-05-06
"Cookies Florida, Inc.",0,0,0,0.0,2022-05-06
Trulieve,115,89682550,1488078,33088.98,2022-04-29
Liberty Health Sciences,46,22415367,51965,4090.39,2022-04-29
Curaleaf,46,30781468,238249,10291.455,2022-04-29
MüV,45,20310813,305506,5692.048,2022-04-29
Surterra Welln ess,44,20493843,1103101,3871.855,2022-04-29
Fluent,27,8877313,30250,2530.449,2022-04-29
VidaCann,25,4018542,75084,801.07,2022-04-29
GrowHealthy,18,7170003,48035,3659.881,2022-04-29
Sunnyside*,16,2924523,1471,2034.061,2022-04-29
Cannabist,14,3493601,21901,1283.487,2022-04-29
Sanctuary Cannabis,8,520813,10832,549.824,2022-04-29
GTI (Rise Dispensaries),7,1003722,16611,1394.771,2022-04-29
MedMen,7,1218735,16591,459.498,2022-04-29
Green Dragon,3,0,0,66.034,2022-04-29
HT Medical Cannabis,2,87538,0,119.325,2022-04-29
Insa – Cannabis for Real Life,0,0,0,0.0,2022-04-29
Revolution Florida,0,0,0,0.0,2022-04-29
Jungle Boys,0,0,0,0.0,2022-04-29
The Flowery,0,22000,0,63.827,2022-04-29
Gold Leaf Florida,0,0,0,0.0,2022-04-29
"Cookies Florida, Inc.",0,0,0,0.0,2022-04-29
Trulieve,115,128035566,1900545,43877.719,2022-04-22
Liberty Health Sciences,45,29056686,61514,5158.267,2022-04-22
Curaleaf,45,46453802,385177,14075.33,2022-04-22
MüV,45,42215439,472073,10065.619,2022-04-22
Surterra Welln ess,44,41808083,1787632,6702.154,2022-04-22
Fluent,27,15393438,41850,3855.865,2022-04-22
VidaCann,25,5365087,108051,1243.819,2022-04-22
GrowHealthy,18,9611856,90822,4022.591,2022-04-22
Sunnyside*,16,5023343,0,3533.253,2022-04-22
Cannabist,14,6298619,41467,2390.177,2022-04-22
GTI (Rise Dispensaries),7,1689958,52131,1522.134,2022-04-22
MedMen,7,1533346,21640,725.471,2022-04-22
Sanctuary Cannabis,7,805877,7943,618.655,2022-04-22
Green Dragon,3,0,0,137.802,2022-04-22
HT Medical Cannabis,2,216847,0,195.221,2022-04-22
Insa – Cannabis for Real Life,0,0,0,0.0,2022-04-22
Revolution Florida,0,0,0,0.0,2022-04-22
Jungle Boys,0,0,0,0.0,2022-04-22
The Flowery,0,26500,0,87.566,2022-04-22
Gold Leaf Florida,0,0,0,0.0,2022-04-22
"Cookies Florida, Inc.",0,0,0,0.0,2022-04-22
Trulieve,114,100621599,1609250,38418.911,2022-04-15
Liberty Health Sciences,45,25430542,63314,3303.822,2022-04-15
Curaleaf,45,28406002,258577,11622.025,2022-04-15
MüV,44,23834828,293737,6678.152,2022-04-15
Surterra Welln ess,44,21578293,1082212,4005.469,2022-04-15
Fluent,27,9671300,70320,2605.826,2022-04-15
VidaCann,25,5439194,98749,931.67,2022-04-15
GrowHealthy,18,9581201,14179,3503.232,2022-04-15
Sunnyside*,16,3177836,2196,2090.895,2022-04-15
Cannabist,14,3705653,17275,1537.365,2022-04-15
GTI (Rise Dispensaries),7,1182855,3082,1482.445,2022-04-15
MedMen,7,1228961,5656,540.16,2022-04-15
Sanctuary Cannabis,7,596432,6591,525.642,2022-04-15
Green Dragon,3,0,0,77.194,2022-04-15
HT Medical Cannabis,2,95486,0,136.5,2022-04-15
Insa – Cannabis for Real Life,0,0,0,0.0,2022-04-15
Revolution Florida,0,0,0,0.0,2022-04-15
Jungle Boys,0,0,0,0.0,2022-04-15
The Flowery,0,5000,0,64.629,2022-04-15
Gold Leaf Florida,0,0,0,0.0,2022-04-15
"Cookies Florida, Inc.",0,0,0,0.98,2022-04-15
Trulieve,113,93985557,1584616,32729.615,2022-04-08
Liberty Health Sciences,45,25646831,71334,3195.794,2022-04-08
Curaleaf,45,33097702,277674,10820.442,2022-04-08
MüV,44,27867187,352376,5989.599,2022-04-08
Surterra Welln ess,43,26748649,1064543,4058.787,2022-04-08
Fluent,27,8856493,117330,2595.697,2022-04-08
VidaCann,25,4888388,72150,952.454,2022-04-08
GrowHealthy,18,7881525,18640,3260.107,2022-04-08
Sunnyside*,16,3040343,729,2245.62,2022-04-08
Cannabist,14,4051024,24474,1642.283,2022-04-08
GTI (Rise Dispensaries),7,1122896,14180,1490.559,2022-04-08
MedMen,7,1250019,12550,592.638,2022-04-08
Sanctuary Cannabis,7,554265,9234,560.007,2022-04-08
Green Dragon,3,0,0,70.997,2022-04-08
HT Medical Cannabis,2,74117,695,160.55,2022-04-08
Insa – Cannabis for Real Life,0,0,0,0.0,2022-04-08
Revolution Florida,0,0,0,0.0,2022-04-08
Jungle Boys,0,0,0,0.0,2022-04-08
The Flowery,0,5500,0,53.026,2022-04-08
Gold Leaf Florida,0,0,0,0.0,2022-04-08
"Cookies Florida, Inc.",0,0,0,1.103,2022-04-08
Trulieve,113,117359838,1686581,38129.913,2022-04-01
Liberty Health Sciences,45,29697363,74290,4022.855,2022-04-01
Curaleaf,45,43287300,326436,13058.871,2022-04-01
AltMed Florida (MüV),44,28312992,360929,5964.294,2022-04-01
Surterra Welln ess,43,21880407,1146987,4329.816,2022-04-01
Fluent,27,10693513,112200,2618.207,2022-04-01
VidaCann,25,4698477,116154,995.128,2022-04-01
GrowHealthy,18,4049385,20503,2554.063,2022-04-01
Sunnyside*,16,3124802,1854,2208.69,2022-04-01
Cannabist,14,3978785,27057,1279.798,2022-04-01
GTI (Rise Dispensaries),7,1557315,18629,1752.353,2022-04-01
MedMen,7,1489313,10930,720.051,2022-04-01
"Sanctuary Medicinals, LLC",7,554720,7672,529.583,2022-04-01
Green Dragon,3,0,0,94.304,2022-04-01
HT Medical Cannabis,1,34320,0,159.117,2022-04-01
Insa – Cannabis for Real Life,0,0,0,0.0,2022-04-01
Revolution Florida,0,0,0,0.0,2022-04-01
Jungle Boys,0,0,0,0.0,2022-04-01
The Flowery,0,6000,0,66.608,2022-04-01
Gold Leaf Florida,0,0,0,0.0,2022-04-01
"Cookies Florida, Inc.",0,0,0,8.077,2022-04-01
Trulieve,113,86671541,1480411,40394.606,2022-03-25
Liberty Health Sciences,45,20334046,88396,2910.108,2022-03-25
Curaleaf,45,38385388,312738,14525.097,2022-03-25
Surterra Welln ess,43,23426214,1268407,4694.296,2022-03-25
AltMed Florida (MüV),43,25020876,298339,5426.371,2022-03-25
Fluent,27,11580403,146340,2756.237,2022-03-25
VidaCann,25,4357434,91673,936.616,2022-03-25
GrowHealthy,18,4682899,14099,1886.72,2022-03-25
Sunnyside*,16,3093838,420,2154.785,2022-03-25
Cannabist,14,4139525,24891,979.726,2022-03-25
GTI (Rise Dispensaries),7,1172380,9376,1836.402,2022-03-25
MedMen,7,1943497,10620,925.466,2022-03-25
"Sanctuary Medicinals, LLC",6,504256,5932,566.059,2022-03-25
Green Dragon,3,0,0,99.689,2022-03-25
HT Medical Cannabis,1,32105,0,156.95,2022-03-25
Insa – Cannabis for Real Life,0,0,0,0.0,2022-03-25
Revolution Florida,0,0,0,0.0,2022-03-25
Jungle Boys,0,0,0,0.0,2022-03-25
The Flowery,0,7500,0,85.359,2022-03-25
Gold Leaf Florida,0,0,0,0.0,2022-03-25
"Cookies Florida, Inc.",0,0,0,0.0,2022-03-25
Trulieve,113,103256878,1541799,39614.544,2022-03-18
Liberty Health Sciences,45,27099819,87222,3751.104,2022-03-18
Curaleaf,45,38184827,240633,15163.953,2022-03-18
Surterra Welln ess,43,22776376,1302933,4673.125,2022-03-18
AltMed Florida (MüV),43,28887603,374600,6266.539,2022-03-18
Fluent,27,10300586,196600,3031.636,2022-03-18
VidaCann,25,6241615,131561,813.56,2022-03-18
GrowHealthy,18,9777584,303,3325.765,2022-03-18
Sunnyside*,16,2990217,2311,2134.99,2022-03-18
Cannabist,14,3898602,36883,1088.371,2022-03-18
GTI (Rise Dispensaries),7,1254577,12468,1813.124,2022-03-18
MedMen,7,1487475,12150,729.388,2022-03-18
"Sanctuary Medicinals, LLC",6,569836,7812,626.801,2022-03-18
Green Dragon,3,0,0,147.122,2022-03-18
HT Medical Cannabis,1,33632,0,146.625,2022-03-18
Insa,0,0,0,0.0,2022-03-18
Revolution Florida,0,0,0,0.0,2022-03-18
Jungle Boys,0,0,0,0.0,2022-03-18
The Flowery,0,9000,500,72.66,2022-03-18
Gold Leaf Florida,0,0,0,0.0,2022-03-18
"Cookies Florida, Inc.",0,0,0,0.0,2022-03-18
Trulieve,112,103372914,1672711,37827.261,2022-03-11
Liberty Health Sciences,45,29967862,114073,4286.764,2022-03-11
Curaleaf,45,33875097,242943,11511.651,2022-03-11
Surterra Welln ess,43,22511711,1163672,4786.972,2022-03-11
AltMed Florida (MüV),41,24810512,333081,5491.492,2022-03-11
Fluent,27,8555119,165150,2321.525,2022-03-11
VidaCann,25,4853564,124392,926.46,2022-03-11
GrowHealthy,18,7367030,101,3249.486,2022-03-11
Sunnyside*,15,3243088,2398,1783.98,2022-03-11
Cannabist,14,3703415,28958,1560.854,2022-03-11
GTI (Rise Dispensaries),7,1256013,5698,1521.179,2022-03-11
MedMen,7,1583546,18060,606.627,2022-03-11
"Sanctuary Medicinals, LLC",6,601250,10878,604.667,2022-03-11
Green Dragon,3,0,0,101.473,2022-03-11
HT Medical Cannabis,1,88203,5024,145.091,2022-03-11
Insa,0,0,0,0.0,2022-03-11
Revolution Florida,0,0,0,0.0,2022-03-11
Jungle Boys,0,0,0,0.0,2022-03-11
The Flowery,0,17500,0,92.277,2022-03-11
Gold Leaf Florida,0,0,0,0.0,2022-03-11
